fever,cough,fatigue,headache,nausea,sore_throat,runny_nose,chest_pain,shortness_of_breath,diarrhea,disease
1,0,1,0,0,0,1,0,0,1,Migraine
1,1,0,0,1,0,0,0,1,1,Food Poisoning
0,1,1,0,0,1,1,1,0,1,Common Cold
1,1,1,1,0,1,0,1,0,0,Flu
1,0,1,1,1,0,1,1,1,0,COVID-19
1,0,1,0,0,0,1,1,0,0,Migraine
0,1,0,0,1,1,1,1,0,0,Common Cold
0,1,0,0,0,0,0,1,1,1,COVID-19
0,0,0,0,1,1,1,1,0,0,Common Cold
1,1,1,1,1,1,1,0,0,1,Flu
0,1,0,1,0,1,0,0,1,0,Migraine
1,0,1,1,0,1,1,0,0,1,Common Cold
0,0,0,1,0,0,1,0,1,1,Migraine
1,1,0,0,1,1,0,0,1,1,Food Poisoning
1,1,0,1,0,1,0,0,1,1,Migraine
0,1,1,1,1,0,1,1,1,0,Migraine
0,1,1,1,0,1,0,0,0,1,Migraine
1,0,1,1,1,1,0,0,0,1,Food Poisoning
1,1,0,1,0,1,0,0,1,0,Migraine
1,1,1,1,0,1,1,1,1,1,Flu
0,0,0,1,0,0,1,0,1,0,Migraine
1,0,0,0,0,1,1,0,0,1,Common Cold
1,1,0,0,0,1,0,1,1,1,COVID-19
0,1,1,0,0,1,0,0,0,0,Food Poisoning
0,0,1,0,0,1,0,0,0,1,Common Cold
1,1,1,0,0,0,0,1,1,0,Flu
0,0,0,1,1,0,1,0,0,0,Migraine
0,0,0,1,0,0,1,0,0,0,Migraine
0,1,1,0,0,0,1,1,0,1,Common Cold
1,0,1,0,1,1,1,1,1,1,Common Cold
0,0,1,0,1,1,1,0,0,0,Common Cold
1,0,1,0,1,1,0,1,0,1,Food Poisoning
0,0,0,1,1,0,0,0,0,1,Food Poisoning
1,1,1,1,1,0,1,0,1,0,Flu
0,1,0,0,1,0,0,0,0,0,Common Cold
1,0,0,0,1,1,0,1,1,0,COVID-19
1,1,0,1,0,0,1,1,1,1,COVID-19
0,1,1,0,0,0,0,1,1,0,COVID-19
1,0,1,0,1,0,1,1,1,1,COVID-19
0,0,0,1,0,0,1,0,1,1,Migraine
0,0,1,0,0,1,1,1,0,1,Common Cold
0,1,0,1,0,0,0,0,1,0,Migraine
0,1,0,0,1,0,1,1,0,0,Food Poisoning
1,1,1,1,1,0,0,0,1,1,Flu
0,1,0,0,0,0,0,1,1,1,Migraine
0,0,1,1,0,1,1,0,1,1,Common Cold
1,0,0,1,1,1,0,0,1,1,Food Poisoning
1,1,1,0,0,0,1,1,1,1,Flu
1,1,1,0,0,1,0,1,0,1,Flu
0,1,0,1,1,1,0,1,0,0,Migraine
1,0,0,0,1,1,0,1,1,1,COVID-19
0,0,1,1,0,0,0,0,1,1,Migraine
1,0,1,0,1,1,0,1,0,1,Food Poisoning
0,0,1,0,1,1,0,1,0,0,Flu
0,1,1,0,0,0,0,1,1,1,Migraine
1,1,1,0,1,1,1,1,0,1,Flu
0,0,1,1,0,0,1,0,0,0,Migraine
0,0,1,0,0,1,1,0,0,1,Common Cold
1,1,0,0,1,0,0,0,0,1,Food Poisoning
1,0,1,1,1,1,0,0,1,0,Migraine
0,1,1,0,1,1,0,1,1,1,Food Poisoning
0,0,0,0,1,1,1,0,0,1,Common Cold
1,0,0,0,1,1,1,1,1,0,Common Cold
1,0,0,1,1,0,1,1,1,0,COVID-19
1,1,1,0,1,1,0,1,0,1,Flu
1,0,1,0,1,0,0,1,0,1,Food Poisoning
1,0,1,1,1,1,1,1,0,0,Common Cold
0,0,1,0,0,1,1,1,0,1,Common Cold
1,1,0,0,1,1,1,0,1,0,Common Cold
0,1,0,1,1,1,1,1,0,0,Common Cold
1,0,1,1,1,0,0,1,0,1,Food Poisoning
1,0,1,1,0,0,0,1,1,0,COVID-19
1,0,0,1,0,1,1,0,0,1,Common Cold
0,0,0,1,0,0,1,1,0,0,Migraine
0,0,1,0,1,0,1,0,0,0,Food Poisoning
1,1,0,1,0,0,1,0,0,1,Migraine
0,0,1,0,1,1,0,1,1,1,Food Poisoning
1,0,0,0,0,0,1,0,0,0,Food Poisoning
0,1,1,1,1,0,1,0,0,0,Migraine
0,0,1,1,1,1,1,1,1,1,Common Cold
0,0,0,1,0,1,0,1,1,1,Migraine
1,1,1,0,1,0,0,0,0,0,Flu
0,0,0,1,1,0,0,0,0,0,Migraine
0,1,1,0,1,0,1,0,0,1,Food Poisoning
0,1,1,0,1,0,0,1,0,1,Food Poisoning
0,0,1,1,0,1,1,0,0,0,Common Cold
0,1,0,0,0,1,0,0,0,1,COVID-19
1,1,1,1,1,0,1,1,1,1,Flu
0,1,0,1,0,0,1,0,0,0,Migraine
0,1,0,1,1,1,0,0,0,0,Migraine
1,0,1,0,0,1,1,1,1,1,Common Cold
1,0,0,1,1,0,0,1,1,1,COVID-19
1,1,1,0,0,0,0,1,0,1,Flu
1,0,1,1,1,0,0,1,0,0,Migraine
0,0,1,1,0,0,1,1,1,0,Migraine
1,1,1,0,1,1,1,0,0,0,Flu
0,1,1,0,1,1,1,0,1,1,Common Cold
1,1,1,1,1,1,1,0,1,1,Flu
0,1,0,0,1,0,0,0,1,0,Migraine
1,1,1,0,0,0,0,0,0,1,Flu
1,0,1,1,0,0,0,0,0,0,Migraine
0,1,1,1,0,1,1,0,0,1,Common Cold
1,0,1,0,1,0,1,1,0,1,Food Poisoning
1,0,1,0,0,0,1,1,1,1,COVID-19
1,1,0,0,1,0,0,0,1,0,COVID-19
0,1,1,1,1,1,0,1,0,1,Food Poisoning
0,1,1,1,1,0,1,0,1,0,Migraine
1,1,1,1,0,1,0,0,1,0,Flu
1,1,1,0,1,0,1,1,0,1,Flu
0,1,1,1,0,1,0,0,1,1,Migraine
0,0,1,1,1,1,1,0,0,1,Common Cold
0,1,1,0,1,0,1,1,1,1,Food Poisoning
1,1,0,0,0,1,0,1,0,0,Flu
0,0,1,1,0,0,0,1,0,1,Migraine
1,0,0,0,0,0,0,0,1,1,Flu
0,0,1,1,1,0,1,1,1,0,Migraine
0,0,1,0,0,0,1,1,0,1,Migraine
0,1,1,1,1,1,0,1,1,0,Migraine
0,1,1,0,0,1,1,0,0,0,Common Cold
1,1,1,1,0,0,0,0,0,0,Flu
1,0,0,1,0,1,0,1,1,1,COVID-19
0,1,0,1,1,1,0,1,1,0,Migraine
0,1,0,1,1,1,0,0,0,0,Migraine
0,0,0,0,0,1,0,0,1,1,Common Cold
0,0,1,0,0,0,0,0,0,1,COVID-19
1,1,1,0,1,0,1,1,0,1,Flu
1,1,1,0,1,0,1,1,1,0,Flu
1,1,0,1,1,1,0,0,0,0,Migraine
0,0,1,1,0,0,0,1,0,1,Migraine
0,0,1,0,1,0,1,1,0,0,Common Cold
0,0,1,0,0,0,0,0,1,0,Flu
1,0,1,0,0,0,1,1,1,0,COVID-19
0,1,0,0,0,0,1,0,0,0,COVID-19
0,1,1,1,0,0,0,1,0,0,Migraine
1,0,0,0,1,0,0,0,0,0,COVID-19
1,0,0,1,1,0,1,0,0,0,Migraine
1,0,0,0,1,0,1,1,1,0,COVID-19
0,0,1,0,1,0,1,1,0,0,COVID-19
0,1,0,1,1,0,1,0,1,0,Migraine
1,1,0,0,0,0,0,1,0,0,Flu
1,0,1,0,1,0,0,1,1,1,COVID-19
0,1,1,1,0,0,0,1,0,0,Migraine
1,0,0,1,0,1,0,1,0,1,Migraine
1,1,0,1,0,1,0,1,0,1,Migraine
1,1,1,1,1,1,0,0,1,0,Flu
1,0,0,1,1,1,1,1,0,1,Common Cold
1,1,1,0,1,1,0,1,1,1,Flu
0,0,1,0,0,0,1,0,1,0,Food Poisoning
0,1,0,1,1,1,0,1,0,0,Migraine
1,1,1,0,0,1,1,0,0,1,Flu
0,0,0,0,1,0,1,0,0,0,Food Poisoning
0,0,1,1,0,1,0,1,0,0,Migraine
1,1,0,1,1,1,1,0,0,0,Common Cold
0,1,1,1,0,0,0,1,1,1,Migraine
0,1,0,0,1,0,0,1,1,0,Flu
1,1,0,0,0,0,0,1,0,0,Common Cold
1,1,1,0,1,1,1,0,0,0,Flu
0,1,1,1,1,0,1,1,1,0,Migraine
1,1,0,1,1,0,0,1,1,0,COVID-19
0,1,1,1,0,1,0,1,1,1,Migraine
1,1,0,0,1,1,0,1,1,0,COVID-19
0,0,0,0,1,0,0,0,1,0,Common Cold
0,1,1,0,0,1,0,1,1,1,Food Poisoning
0,1,1,0,0,1,0,1,1,0,Common Cold
1,0,1,1,1,0,1,1,1,1,COVID-19
1,0,0,1,0,1,1,0,1,1,Common Cold
0,1,1,1,0,1,0,0,0,1,Migraine
0,0,1,1,1,1,1,0,1,1,Common Cold
0,1,0,0,0,1,1,1,0,0,Common Cold
0,0,0,1,1,1,0,0,1,1,Food Poisoning
0,0,1,0,1,0,1,0,1,0,Food Poisoning
0,1,1,0,0,1,0,0,0,1,Common Cold
0,1,1,1,1,0,1,1,0,1,Food Poisoning
1,0,0,0,1,1,1,0,1,0,Common Cold
0,0,1,0,1,1,1,1,0,0,Common Cold
1,1,1,1,1,1,1,0,1,1,Flu
1,1,0,1,1,0,1,0,1,0,Migraine
0,0,1,0,1,0,1,1,1,0,COVID-19
0,1,0,0,1,1,0,0,0,1,Food Poisoning
1,0,1,0,1,1,1,1,1,0,Common Cold
1,0,0,1,1,0,1,0,1,0,Migraine
0,0,1,1,1,0,0,1,1,1,Food Poisoning
1,1,0,1,0,0,0,1,1,0,COVID-19
0,1,0,1,1,1,0,0,0,0,Migraine
0,0,0,0,0,0,1,1,0,0,COVID-19
0,1,0,0,1,0,1,0,1,0,COVID-19
1,1,1,1,0,0,1,1,0,0,Flu
0,0,1,1,0,0,0,0,0,0,Migraine
0,0,1,1,1,1,1,0,0,0,Common Cold
1,1,1,0,0,1,0,0,1,1,Flu
1,0,1,1,1,1,0,1,0,1,Food Poisoning
1,0,1,1,1,1,0,1,0,1,Food Poisoning
1,1,0,0,1,1,0,0,0,1,Food Poisoning
0,1,0,0,0,0,0,0,1,1,Flu
1,0,0,0,1,0,0,1,1,0,COVID-19
0,0,0,1,0,0,0,1,1,0,Migraine
1,0,0,1,1,1,0,0,0,0,Migraine
0,0,0,1,1,0,0,1,0,0,Migraine
1,0,0,1,0,0,1,1,0,1,Migraine
1,1,0,0,1,1,1,1,0,0,Common Cold
1,0,1,0,0,0,1,1,1,0,COVID-19
0,0,1,0,0,0,1,1,0,1,Food Poisoning
1,1,0,0,1,0,1,0,1,1,Food Poisoning
0,0,0,0,1,1,1,1,1,0,Common Cold
0,1,1,1,0,0,1,1,0,0,Migraine
1,1,1,0,1,1,1,1,1,1,Flu
1,0,1,0,0,1,1,0,0,0,Common Cold
0,1,0,0,0,1,1,1,0,0,Common Cold
1,0,1,0,1,1,1,0,0,0,Common Cold
1,0,0,1,0,1,1,1,0,1,Common Cold
0,1,1,1,1,1,0,1,0,1,Food Poisoning
1,0,0,1,1,1,1,0,0,1,Common Cold
0,1,0,1,1,0,1,0,0,0,Migraine
0,0,0,0,1,1,1,0,1,0,Common Cold
0,0,1,1,1,0,0,1,0,0,Migraine
0,1,0,0,1,1,0,1,0,1,Food Poisoning
0,1,1,0,0,1,0,0,0,0,COVID-19
0,0,0,1,1,0,0,1,0,0,Migraine
1,0,1,0,0,1,1,0,0,1,Common Cold
0,1,1,1,1,0,1,1,0,0,Migraine
0,0,0,0,0,1,1,1,0,0,Common Cold
1,1,1,0,1,1,1,1,1,0,Flu
1,1,1,0,0,0,0,1,1,0,Flu
0,1,1,1,1,1,0,0,0,0,Migraine
0,1,1,1,0,0,1,0,1,1,Migraine
1,0,0,0,1,1,1,1,0,0,Common Cold
1,1,1,0,0,1,0,0,1,1,Flu
1,0,0,1,1,1,1,0,1,0,Common Cold
0,0,1,0,1,1,1,1,0,1,Common Cold
0,1,1,1,0,1,0,0,1,1,Migraine
1,1,1,1,1,0,1,1,0,0,Flu
1,0,0,0,1,0,0,0,1,1,Food Poisoning
0,1,1,1,1,0,0,0,1,1,Food Poisoning
1,1,0,0,0,1,0,1,1,0,COVID-19
0,0,1,0,1,0,1,1,0,1,Food Poisoning
1,0,0,1,0,1,1,1,1,0,Common Cold
1,0,1,0,1,1,1,1,1,1,Common Cold
0,0,0,1,0,0,1,1,1,1,Migraine
0,1,0,1,0,1,0,0,1,1,Migraine
1,0,0,1,1,0,0,0,0,1,Food Poisoning
0,0,0,1,0,1,0,1,0,1,Migraine
1,0,1,1,0,0,0,0,0,1,Migraine
0,0,1,1,0,0,0,1,0,0,Migraine
0,1,0,1,0,0,0,1,1,1,Migraine
0,0,0,1,1,0,0,1,1,0,Migraine
0,0,0,1,0,1,1,0,0,1,Common Cold
1,0,1,0,0,0,1,0,0,0,Common Cold
0,0,0,1,1,1,1,0,0,0,Common Cold
0,0,0,0,0,1,0,0,1,0,Flu
1,0,1,1,0,0,0,1,1,0,COVID-19
0,0,1,1,0,0,1,0,1,0,Migraine
1,1,1,0,1,0,0,0,1,0,Flu
0,0,1,1,0,0,0,0,0,0,Migraine
1,0,1,1,0,0,0,0,0,0,Migraine
0,1,1,1,1,0,0,0,0,0,Migraine
1,1,0,0,0,0,1,0,1,1,Migraine
0,0,1,0,1,1,1,1,0,0,Common Cold
1,0,0,1,0,1,0,1,0,1,Migraine
1,0,0,0,0,0,1,0,0,1,Migraine
0,1,1,0,1,0,0,0,0,0,Flu
0,0,0,1,1,1,0,0,1,0,Migraine
1,1,1,0,0,1,0,0,0,1,Flu
0,0,0,1,0,1,1,0,1,0,Common Cold
0,1,0,0,0,0,1,0,1,0,Migraine
1,0,0,1,1,1,0,0,1,0,Migraine
0,1,0,1,0,1,0,0,1,0,Migraine
0,1,0,0,1,0,0,0,1,0,COVID-19
1,1,1,1,1,0,0,0,1,1,Flu
1,1,1,0,1,0,1,0,1,0,Flu
1,0,1,1,0,0,1,1,0,0,Migraine
1,0,1,1,1,0,0,0,1,0,Migraine
0,1,0,1,1,0,1,0,1,0,Migraine
0,0,1,1,1,1,1,0,0,1,Common Cold
0,1,1,0,1,0,1,0,1,0,Food Poisoning
0,1,0,1,1,0,1,0,0,0,Migraine
0,1,1,0,1,0,0,1,1,0,Food Poisoning
1,0,0,0,0,0,1,1,1,1,COVID-19
0,0,0,0,0,1,1,0,1,1,Common Cold
0,1,0,1,1,1,1,1,0,1,Common Cold
0,1,1,0,1,1,0,0,1,0,Common Cold
1,0,1,1,1,1,1,0,0,1,Common Cold
0,1,0,0,1,1,1,0,0,1,Common Cold
1,0,0,0,1,0,0,0,1,0,Flu
0,1,1,1,1,0,1,1,0,1,Food Poisoning
0,1,0,1,0,0,0,1,1,0,Migraine
1,0,1,1,1,1,1,0,1,0,Common Cold
1,0,0,1,0,1,0,1,0,1,Migraine
0,1,0,1,0,1,1,0,1,1,Common Cold
1,1,1,0,1,1,0,0,0,1,Flu
1,0,1,0,0,0,0,0,1,1,Common Cold
1,0,0,1,0,1,0,1,1,0,COVID-19
0,1,0,1,0,1,0,1,0,1,Migraine
1,0,0,1,1,0,0,0,1,0,Migraine
1,1,1,1,0,0,1,1,1,1,Flu
1,1,1,0,1,0,0,0,1,1,Flu
0,1,1,0,0,0,1,1,1,1,Food Poisoning
1,0,0,0,1,0,1,0,0,1,Food Poisoning
1,0,1,1,1,1,0,1,1,1,COVID-19
1,1,1,0,0,0,1,0,1,1,Flu
0,1,1,0,0,0,1,1,1,1,Flu
1,0,1,1,0,1,0,1,1,1,COVID-19
0,1,0,1,1,1,1,1,0,1,Common Cold
1,1,1,0,0,0,1,0,1,1,Flu
1,0,1,0,1,1,1,0,1,0,Common Cold
0,1,1,0,1,0,0,1,1,0,Common Cold
1,1,0,1,1,1,0,0,0,1,Food Poisoning
1,1,1,1,1,1,0,1,0,1,Flu
1,1,1,0,1,0,1,0,0,0,Flu
0,0,1,0,1,1,0,0,0,1,Food Poisoning
1,1,0,0,0,1,0,1,0,0,COVID-19
1,1,1,1,1,1,1,0,0,1,Flu
1,0,1,1,0,1,0,0,1,1,Migraine
0,1,0,0,1,1,1,1,0,0,Common Cold
1,1,0,0,0,0,1,0,1,1,Flu
0,0,1,1,1,1,1,1,1,0,Common Cold
0,1,0,0,0,0,1,0,1,1,Food Poisoning
1,1,0,1,0,1,0,0,1,0,Migraine
0,0,1,0,0,0,1,1,1,1,Migraine
1,1,0,0,1,1,0,1,0,1,Food Poisoning
0,1,1,1,0,1,0,0,1,1,Migraine
0,0,1,1,0,1,0,1,1,1,Migraine
1,1,1,0,0,0,0,0,1,0,Flu
1,0,1,0,0,1,0,0,0,1,Common Cold
1,0,1,0,0,0,1,0,0,0,Flu
0,0,0,0,1,1,1,0,1,1,Common Cold
0,1,0,0,1,1,1,1,1,1,Common Cold
1,0,0,0,0,0,0,1,1,1,COVID-19
0,1,1,0,0,1,0,1,1,1,COVID-19
1,0,1,1,1,0,0,1,1,1,COVID-19
1,1,0,1,1,1,1,1,1,1,Common Cold
0,0,0,0,1,1,0,1,0,0,Migraine
1,1,0,0,1,1,1,0,0,0,Common Cold
1,0,1,1,1,1,1,0,0,0,Common Cold
1,0,0,1,1,0,0,1,0,0,Migraine
0,1,0,0,1,0,0,1,0,0,COVID-19
0,0,0,0,0,1,0,1,1,0,Common Cold
0,1,0,1,1,1,1,1,0,1,Common Cold
0,0,0,0,1,0,1,1,0,1,Food Poisoning
0,1,1,0,0,1,1,0,1,1,Common Cold
0,1,1,0,0,1,0,1,0,0,Food Poisoning
0,1,1,0,0,0,1,0,0,0,Common Cold
0,0,1,0,0,0,0,0,0,0,Food Poisoning
1,1,1,0,0,1,1,1,0,1,Flu
1,0,1,0,1,1,1,1,1,1,Common Cold
1,0,1,1,0,0,0,1,0,0,Migraine
0,0,1,1,1,0,0,0,0,1,Food Poisoning
0,0,1,0,1,0,1,0,0,0,Food Poisoning
1,1,1,1,1,0,0,1,1,1,Flu
0,1,0,1,1,0,1,1,1,0,Migraine
0,0,0,1,0,1,1,1,0,1,Common Cold
0,0,1,1,1,1,1,0,1,0,Common Cold
1,1,0,0,1,0,1,1,1,0,COVID-19
1,1,0,0,1,0,0,0,0,1,Food Poisoning
0,0,0,1,1,1,0,0,1,1,Food Poisoning
1,1,0,0,0,1,1,1,1,1,Common Cold
0,0,0,1,1,0,0,0,1,0,Migraine
1,1,1,1,0,1,1,1,0,1,Flu
0,0,0,1,1,0,0,1,0,0,Migraine
0,0,0,0,0,1,0,1,0,1,Food Poisoning
0,1,1,1,1,0,1,1,1,1,Food Poisoning
1,0,1,0,0,1,1,0,1,0,Common Cold
1,1,1,1,0,0,0,0,0,0,Flu
0,0,1,0,0,0,1,0,1,1,COVID-19
1,1,0,0,0,0,1,0,1,1,COVID-19
0,1,0,1,0,1,1,0,1,1,Common Cold
1,1,1,0,1,0,1,1,1,1,Flu
1,0,1,0,1,1,0,0,1,0,COVID-19
0,1,0,1,0,1,0,0,0,0,Migraine
1,1,1,0,1,0,0,0,0,1,Flu
1,1,1,0,0,0,1,1,1,1,Flu
1,0,1,0,1,0,1,0,1,0,Migraine
0,0,1,1,0,0,1,0,0,0,Migraine
0,1,0,0,0,1,0,1,0,0,Common Cold
0,0,0,1,1,0,1,1,0,0,Migraine
0,0,1,0,0,0,0,0,1,1,Common Cold
1,1,1,1,1,1,0,0,1,0,Flu
0,0,0,1,0,1,0,1,1,1,Migraine
0,1,1,1,0,0,0,1,0,1,Migraine
0,0,1,1,1,1,0,1,1,0,Migraine
1,0,0,1,0,0,1,1,1,1,COVID-19
1,1,1,0,1,1,0,1,0,0,Flu
1,0,1,0,0,1,0,0,0,1,Flu
1,1,1,0,0,1,0,1,0,0,Flu
1,0,0,0,1,0,0,1,1,0,COVID-19
0,0,0,0,0,1,0,1,0,1,Food Poisoning
0,1,1,0,1,1,0,0,0,0,Flu
0,0,0,0,0,0,0,0,0,1,Common Cold
0,0,1,0,1,1,1,1,0,1,Common Cold
0,0,0,0,0,1,0,0,1,1,Common Cold
0,1,1,1,0,1,1,0,0,1,Common Cold
1,0,1,1,1,0,1,0,1,0,Migraine
1,0,0,1,0,0,0,1,1,0,COVID-19
1,0,1,0,0,0,0,1,0,0,Food Poisoning
1,0,1,1,0,1,1,0,0,0,Common Cold
1,0,0,1,0,0,0,0,1,0,Migraine
0,0,1,0,1,1,0,0,1,0,Common Cold
1,0,0,1,1,1,1,0,1,1,Common Cold
0,1,1,1,1,1,1,1,0,1,Common Cold
0,0,1,1,1,0,1,0,0,1,Food Poisoning
1,1,0,1,1,0,1,1,0,0,Migraine
0,1,0,0,0,1,0,1,0,0,Migraine
0,0,1,1,1,0,0,0,0,0,Migraine
0,0,0,1,0,1,1,1,0,1,Common Cold
1,0,0,1,1,1,1,1,1,0,Common Cold
1,0,1,1,1,0,1,0,0,1,Food Poisoning
0,0,0,1,1,1,0,0,0,0,Migraine
1,0,1,0,0,1,0,1,1,0,COVID-19
1,1,0,1,1,1,0,0,1,0,Migraine
0,1,1,0,0,0,1,0,1,1,Migraine
0,0,0,0,1,1,1,1,1,1,Common Cold
0,1,0,1,1,1,0,1,0,0,Migraine
1,0,1,1,0,0,0,1,1,0,COVID-19
0,1,1,1,1,1,0,1,1,1,Food Poisoning
0,1,1,0,0,1,1,0,1,1,Common Cold
0,1,1,0,0,1,0,0,0,0,Food Poisoning
1,1,1,0,1,0,0,0,1,0,Flu
0,0,0,1,0,1,1,0,0,0,Common Cold
1,0,1,0,1,0,1,0,1,0,Food Poisoning
1,0,0,1,0,1,1,1,0,0,Common Cold
1,1,1,0,0,0,0,0,0,1,Flu
0,1,0,0,0,0,0,1,0,1,Flu
0,0,1,1,0,1,0,1,1,0,Migraine
1,0,1,0,0,1,1,1,0,1,Common Cold
0,0,1,0,1,0,1,0,1,0,COVID-19
0,0,0,1,1,1,0,1,0,1,Food Poisoning
1,1,0,1,0,1,0,1,0,0,Migraine
0,1,0,1,0,1,1,1,1,0,Common Cold
1,0,1,1,1,0,0,1,1,0,COVID-19
0,1,0,0,0,1,1,1,1,1,Common Cold
1,0,1,0,1,0,1,1,0,0,Migraine
0,0,1,1,1,1,0,0,1,1,Food Poisoning
1,0,0,0,1,0,1,1,0,1,Food Poisoning
0,0,1,0,0,0,0,0,0,0,COVID-19
1,1,1,0,0,1,1,0,0,1,Flu
1,0,1,1,1,1,1,0,1,0,Common Cold
1,1,1,1,1,0,1,0,0,1,Flu
1,1,1,1,0,1,0,1,0,0,Flu
1,0,1,0,1,1,1,1,0,0,Common Cold
0,0,1,1,1,1,0,0,1,1,Food Poisoning
0,0,1,0,1,1,0,0,0,1,Food Poisoning
1,1,0,1,0,1,1,1,0,1,Common Cold
0,0,1,1,1,0,0,1,0,0,Migraine
1,1,1,0,1,1,0,0,1,1,Flu
0,0,0,0,0,1,0,1,1,1,Food Poisoning
0,0,0,0,1,0,1,1,1,1,Food Poisoning
0,0,0,0,0,1,1,0,1,0,Common Cold
1,1,0,0,0,1,0,1,0,0,Flu
0,0,0,1,0,0,0,1,0,0,Migraine
0,1,0,0,1,1,0,1,1,1,Food Poisoning
1,1,1,1,0,0,1,0,0,1,Flu
1,0,0,0,1,0,0,0,0,0,Food Poisoning
0,0,1,1,0,0,0,0,0,1,Migraine
0,1,1,0,1,1,0,0,1,0,Migraine
0,0,1,0,1,0,0,0,0,0,COVID-19
0,1,1,0,1,0,0,1,0,0,Flu
0,0,0,0,0,0,0,1,0,1,Migraine
1,1,1,0,1,0,1,1,1,0,Flu
1,1,1,0,1,0,1,1,1,0,Flu
1,1,0,0,1,0,0,1,1,1,COVID-19
0,0,0,0,0,0,0,0,1,1,COVID-19
0,0,0,1,0,0,0,0,1,0,Migraine
0,0,1,1,0,1,0,0,0,1,Migraine
1,0,0,1,1,1,1,0,0,0,Common Cold
1,0,1,0,1,1,0,1,1,1,COVID-19
1,0,1,0,0,0,1,0,0,1,Common Cold
0,0,0,1,1,1,0,0,0,0,Migraine
0,1,0,0,0,1,1,1,1,0,Common Cold
1,0,0,1,0,0,0,0,1,0,Migraine
1,0,0,1,0,1,0,0,0,1,Migraine
0,0,1,1,0,0,0,1,0,0,Migraine
0,1,1,0,0,0,1,1,1,1,COVID-19
1,0,1,1,0,1,1,1,1,1,Common Cold
0,1,1,0,0,0,0,1,1,1,Flu
0,1,1,0,1,0,0,0,1,1,Food Poisoning
1,1,0,0,1,0,0,1,1,0,COVID-19
0,1,0,0,0,1,1,0,1,1,Common Cold
1,1,1,1,0,1,1,1,1,0,Flu
0,0,1,1,1,0,1,0,1,1,Food Poisoning
1,0,0,1,0,1,0,0,1,1,Migraine
1,1,1,0,0,0,1,1,1,1,Flu
1,1,1,1,1,1,1,0,0,0,Flu
0,1,0,1,1,0,0,0,1,1,Food Poisoning
1,1,0,1,1,1,1,0,0,0,Common Cold
1,1,1,0,0,1,0,0,0,1,Flu
1,1,1,0,0,0,1,1,1,0,Flu
1,0,1,1,1,1,1,0,1,0,Common Cold
1,1,0,1,0,1,1,0,0,1,Common Cold
1,0,0,1,1,0,1,1,0,1,Food Poisoning
1,0,0,1,0,0,0,1,0,0,Migraine
0,1,0,0,1,1,0,1,0,0,Migraine
0,0,0,0,1,1,1,1,0,0,Common Cold
1,0,1,1,0,0,1,1,0,0,Migraine
1,1,0,0,1,1,0,1,1,1,COVID-19
1,0,0,1,0,1,0,0,1,1,Migraine
1,1,1,0,0,0,1,0,1,1,Flu
1,1,0,0,0,1,1,0,0,1,Common Cold
1,1,0,1,1,0,1,1,1,1,COVID-19
1,1,0,0,0,0,1,1,1,1,COVID-19
0,0,1,1,1,1,0,0,0,1,Food Poisoning
0,1,0,1,0,0,0,0,1,1,Migraine
1,0,0,1,0,1,0,1,0,0,Migraine
1,0,1,0,1,0,0,0,1,1,Food Poisoning
